,,,,,,,,,,,,,
,,T A B E L A  -  B 3,,,,,,,T A B E L A  -  B 3,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,PRODUTO,,,,METRO² / PEÇA,V A L O R,,PRODUTO,,,,METRO² / PEÇA,V A L O R
,PRIME CLICK EUCAFLOOR,,,,M²,"R$ 56,73",,NEW WAY ,,,,M²,"R$ 60,35"
,PRIME COLADO,,,,M²,"R$ 54,65",,SPOT,,,,M²,"R$58,68"
,GRAN ELEGANCE,,,,M²,"R$ 79,50",,  UNIQUE *RESISTENTE A AGUA*,,,,M²,"R$ 93,15"
,NEW EVIDENCE,,,,M²,"R$ 57,32",,STUDIO ,,,,M²,"R$ 93,15"
,SQUARE,,,,M²,"R$ 63,26",,NATURE,,,,M²,"R$73,24"
,MAX ELEGANCE,,,,M²,"R$ 75,71",,LINK,,,,M²,"R$79,72"
,,,,,,,,STREET,,,,M²,"R$86,41"
,ACESSORIOS ,,,,,,,ACESSORIOS ,,,,,
,,,,,,,,,,,,,
,RODAPE 7 CM ESTILO,,,,PC,"R$ 23,85",,RODAPE FIXO ,,,,PC,"R$17,93"
, RODAPE 5 CM ESTILO,,,,PC,"R$ 19,86",,RODAPE CLEAN ,,,,PC,"R$26,20"
,RODAPE 10 CM ESTILO MAX,,,,PC,"R$ 38,79",,PERFIL T ,,,,PC,"R$45,26"
,RODAPE 7 CM BRANCO,,,,PC,"R$ 24,71",,PERFIL R,,,,PC,"R$51,22"
,CORDAO,,,,PC,"R$ 18,30",,PISO PAREDE,,,,PC,"R$42,76"
,PERFIL T,,,,PC,"R$ 49,70",,FRONTAL ESCADA ,,,,PC,"R$76,33"
,PERFIL R,,,,PC,"R$ 66,57",,CANTONEIRA,,,,PC,"R$13,60"
,FRONTAL ESCADA,,,,PC,"R$ 115,60",,RODAPÉ EASY Y01 80,,,,PC ,"R$ 29,27"
,PISO PAREDE ,,,,PC ,"R$ 65,70",, RODAPÉ EASY Y01 120 2100M,,,,PC,"R$ 41,80"
,,,,,,,,,,,,,
,,T A B E L A  -  B 3,,,,,,,T A B E L A  -  B 3,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,PRODUTO,,,,METRO² / PEÇA,V A L O R,,PRODUTO,,,,METRO² / PEÇA,V A L O R
,,,,,,,,,,,,,
,MATA ATLANTICA ,,,,M²,"R$ 54,56",,ECO HOME 2 MM,,,,M²,"R$ 60,91"
,FLOREST FIT,,,,M²,"R$59,33",,ECO HARD 3MM,,,,M²,"R$ 97,59"
,MATA ATLANTICA PV,,,,M²,"R$ 56,57",,,,,,,
,SMART ,,,,M²,"R$ 92,29",,ECO PREMIUM 4MM,,,,M²,"R$ 130,59"
,   PREMIERE *RESISTENTE A AGUA*,,,,M²,"R$ 79,12",,"ECO DESIGN 6,5MM",,,,M²,"R$ 163,01"
,ELIGNA WIDE,,,,M²,"R$ 108,16",,ECO SQUARE 3MM PLACA,,,,M²,"R$ 105,42"
,VISION,,,,M²,"R$ 112,97",,,,,,,
,IMPRESSIVE,,,,M²,"R$ 162,20",,,,,,,
,CLASSIC,,,,M²,"R$ 66,42",,,,,,,
,ACESSORIOS,,,,,,,RODAPE 3 CM,,,,PC,"R$ 29,64"
,,,,,,,,RODAPE 7 CM,,,,PC,"R$ 38,79"
,RODAPE BORDER ,,,,PC,"R$31,22",,RODAPE 10 CM,,,,PC,"R$ 66,11"
,CANTONEIRA,,,,PC,"R$15,38",,RODAPE 15 CM,,,,PC,"R$ 94,25"
,PERFIL INCIZO,,,,PC,"R$80,89",,,,,,,
,RODAPE CINQ,,,,PC,"R$24,00",,DISPLAY 2 EM 1 ECOMEX ,,,,JOGO,"R$ 100,04"
,RODAPE MIDI,,,,PC,"R$28,31",,,,,,,
,RODAPE NOBLE ,,,,PC,"R$53,29",,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,T A B E L A  -  B 3,,,,,,,T A B E L A  -  B 3,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,PRODUTO,,,,METRO² / PEÇA,V A L O R,,PRODUTO,,,,METRO² / PEÇA,V A L O R
,,,,,,,,,,,,,
,INJOY ,,,,M²,"R$ 93,96",,ELEMENTAR,,,,M²,"R$ 79,06"
,INJOY ROSEO ,,,,M²,"R$ 120,40",,PERSONNALITE,,,,M²,"R$ 79,94"
,ESSENCE HIT ,,,,M²,"R$ 127,54",,VITAL,,,,M²,"R$ 89,99"
,ENC AMBIENTA ,,,,M²,"R$ 145,08",,MAXIMUM,,,,M²,"R$ 102,36"
,ENC ESSENCE 30,,,,M²,"R$ 148,23",,IMPONENTE,,,,M²,"R$ 118,99"
,ENC AMBIENTA SERIES,,,,M²,"R$ 170,50",,QUADRATTA PRO,,,,M²,"R$ 135,76"
,AMBIENTA TECH ,,,,M²,"R$ 176,45",,QUADRATTA PRO MARMORIZADO,,,,M²,"R$ 138,51"
,ESSENCE TECH,,,,M²,"R$ 174,61",,NATIVA ,,,,M²,"R$ 150,00"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,T A B E L A  -  B 3,,,,,,,T A B E L A  -  B 3,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,                       AUTONIVELANTES,,,
,,,,,,,,,,,,,
,PRODUTO,,,,METRO² / PEÇA,V A L O R,,PRODUTO,,,,METRO² / PEÇA,V A L O R
,,,,,,,,,,,,,
,NATURAL LEV (PISO EM PROMOÇÃO),,,,M²,"R$ 50,00",,FLOOR FIX NIVELANTE,,,,SC 20KG,"R$ 65,21"
,NATURAL LEV 3MM,,,,M²,"R$ 100,70",,PROTEC NIVELANTE ,,,,SC 20KG,"R$ 82,62"
,ESSENCIAL 96X96,,,,M²,"R$ 110,00",,QUARTZOLIT NIVELANTE ,,,,SC 20KG,"R$ 102,45"
,NATURAL LEV GRANDE EXTRA,,,,M²,"R$ 121,47",,NOVOPLAN NIVELANTE,,,,SC 20KG,"R$ 115,44"
,,,,,,,,MASSA DE PREPARAÇÃO,,,,,
,,,,,,,,MASSA DE PREPARAÇÃO QUARTZOLIT,,,,SC 10KG,"R$ 46,19"
,ACESSORIOS ,,,,,,,MASSA DE PREPARAÇÃO MAPEI,,,,SC 5KG,"R$ 50,50"
,RODAPE 7CM SLIM,,,,PC,"R$ 35,00",,MASSA DE PREPARAÇAO PROTEC,,,,SC 10KG,"R$ 46,16"
,RODAPE 7CM 15MM,,,,PC,"R$ 53,00",,PREPARA PRÓ,,,,,
,RODAPE 10CM SLIM,,,,PC,"R$ 40,50",,PREPARA PRÓ QUARTZOLIT,,,,SC 10KG,"R$ 150,97"
,RODAPE 10CM 15MM,,,,PC,"R$ 68,02",,PREPARA PRÓ MAPEI,,,,SC 4KG,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,OUTROS,,,,,,,COLAS²,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,PRODUTO,,,,METRO² / PEÇA,V A L O R,,PRODUTO,,,,METRO² / PEÇA,V A L O R
,,,,,,,,,,,,,
,MASSA ACRILICA ,,,,KILO,"R$ 16,55",,TEK BOND 793 20 GRAMAS,,,,CADA,"R$ 15,39"
,PREGO  10X10,,,,PCT,"R$ 17,20",,TEK BOND 200 GRAMAS ,,,,CADA,"R$ 21,06"
,PREGO 10X11,,,,PCT,"R$ 17,20",,"TEK BOND 2,8 KILOS",,,,CADA,"R$ 128,79"
,PREGO 15X15,,,,PCT,"R$ 17,20",,COLA EUCAFLOOR ,,,,CADA,"R$ 24,85"
,PREGO 17X18,,,,PCT,"R$ 20,82",,COLA FLAX,,,,CADA,"R$ 40,42"
,TARUGO,,,,METRO,"R$ 1,62",,COLA RAFAELA RODAPE 1KG,,,,CADA,"R$ 28,67"
,FECHADURA,,,,CADA,"R$ 92,34",,COLA RAFELA RODAPE 5KG,,,,CADA,"R$ 129,60"
,DOBRADIÇA,,,,CADA,"R$ 6,20",,COLA VINILICA MAPEI  4KG,,,,CADA,"R$ 171,61"
,F 12 ,,,,UN ,"R$ 15,86",,COLA VINILICA QUARTZOLIT  4KG,,,,CADA,"R$ 124,46"
,,,,,,,,COLA VINILICA PROTEC 4KG,,,,CADA ,"R$ 126,36"
,,,,,,,,COLA VINILICA RAFAELA 4KG,,,,CADA ,"R$ 100,44"
,,,,,,,,COLA VINILICA GLOBALFIX 4KG,,,,CADA ,"R$ 119,56"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,PAINEL/FERRAGEM,,,,,,,PAINEL/FERRAGEM,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,PRODUTO,,,,METRO² / PEÇA,V A L O R,,PRODUTO,,,,METRO² / PEÇA,V A L O R
,,,,,,,,,,,,,
,PAINEL DIVISORIA,,,,CADA,"R$ 125,15",,GUIA ALTA AÇO 3.000,,,,CADA ,"R$ 12,96"
,PORTA DIVISORIA,,,,CADA ,"R$ 121,91",,GUIA BAIXA AÇO 2.150,,,,CADA ,"R$ 10,45"
,BATENTE 840,,,,CADA,"R$ 4,85",,GUIA BAIXO AÇO 3.000,,,,CADA ,"R$ 11,54"
,BATENTE 2.143,,,,CADA,"R$ 11,26",,,,,,,
,BAGUETE AÇO 2.500,,,,CADA,"R$ 4,97",,,,,,,
